library:: mylib.txt
definition:: start int main()
keyword:: int
keyword:: main
punctuation:: (
punctuation:: )
punctuation:: {
keyword:: int
identifier:: a
operation:: =
number:: 3
punctuation:: ;
keyword:: float
identifier:: b
operation:: =
number:: 5
punctuation:: ;
keyword:: int
identifier:: c
operation:: =
number:: 7
punctuation:: ;
keyword:: int
identifier:: d
operation:: =
identifier:: a
operation:: +
identifier:: c
punctuation:: ;
keyword:: for
punctuation:: (
keyword:: int
identifier:: i
operation:: =
number:: 0
punctuation:: ;
identifier:: i
operation:: <
number:: 3
punctuation:: ;
identifier:: i
operation:: ++
punctuation:: )
punctuation:: {
punctuation:: }
punctuation:: }
